prime,arousal_mean,arousal_median,arousal_sd,arousal_q1,arousal_q3
p1,3.991606715,4,1.673622154,3,5
p10,3.606683805,4,1.473846414,3,4
p100,4.96143617,5,1.519377789,4,6
p101,4.119777159,4,1.565916283,3,5
p102,3.524566474,4,1.480345812,2.25,4
p103,4.882681564,5,1.625318435,4,6
p104,4.893939394,5,1.438583045,4,6
p105,5.467048711,6,1.492193345,5,7
p106,5.433962264,6,1.539245231,5,7
p107,3.616766467,4,1.499695773,3,5
p108,4.157593123,4,1.577802541,3,5
p109,3.995738636,4,1.54720924,3,5
p11,4.964285714,5,1.622649786,4,6
p110,4.525568182,5,1.606406233,4,6
p111,4.064516129,4,1.393527213,3,5
p112,4.666118421,5,1.539749476,4,6
p113,4.089123867,4,1.411662298,3,5
p114,4.211267606,4,1.340013207,3,5
p115,4.576470588,5,1.521732211,4,6
p116,4.585545723,5,1.608979218,4,6
p117,3.857526882,4,1.681874936,3,5
p118,4.613636364,5,1.555936408,4,6
p119,4.545845272,5,1.679205542,4,6
p12,3.516209476,4,1.526552192,2,5
p120,3.28042328,4,1.47145711,2,4
p121,5.724576271,6,1.458972616,5,7
p122,4.202549575,4,1.478796833,3,5
p123,4.394508671,5,1.458010921,4,5
p124,4.679665738,5,1.676040126,4,6
p125,3.302325581,4,1.690789782,2,4
p126,4.93019943,5,1.599589131,4,6
p127,5.110091743,5,1.649071776,4.5,6
p128,4.873111782,5,1.628040926,4,6
p129,3.746010638,4,1.524899136,3,5
p13,5.066176471,5,1.629160007,4,6
p130,3.832402235,4,1.575320993,3,5
p131,4.341288783,5,1.504535173,3,5
p132,3.844192635,4,1.422656161,3,5
p133,4.060606061,4,1.59099659,3,5
p134,4.3125,5,1.484765966,3,5
p135,4.390140845,4,1.530495556,4,5
p136,4.816298343,5,1.633304554,4,6
p137,5.088235294,5,1.597659343,4,6
p138,4.691666667,5,1.495373552,4,6
p139,4.904696133,5,1.554158051,4,6
p14,5.258196721,6,1.654260096,4.125,7
p140,5.780898876,6,1.409135298,5,7
p141,3.474043716,4,1.591073916,2,5
p142,5.106648199,5,1.526746763,4,6
p143,4.111764706,4,1.577639607,3,5
p144,5.010471204,5,1.584006445,4,6
p145,4.282131661,5,1.571271318,3,5
p146,3.972144847,4,1.555061522,3,5
p147,4.269444444,4,1.457727358,4,5
p148,3.711796247,4,1.334275302,3,5
p149,4.324250681,5,1.439977771,3,5
p15,4.486522911,5,1.64803947,3.25,6
p150,3.844476744,4,1.542336936,3,5
p151,3.673652695,4,1.426821731,3,5
p152,4.02507837,4,1.698870669,3,5
p153,3.613905325,4,1.544459462,3,5
p154,4.4515625,5,1.619821596,4,5.25
p155,4.981382979,5,1.583977846,4,6
p156,3.909221902,4,1.534186996,3,5
p157,4.963949843,5,1.821288699,4,6
p158,4.044836957,4,1.656882426,3,5
p159,4.601769912,5,1.411322492,4,5
p16,5.439393939,6,1.612487232,5,7
p160,4.123546512,4,1.453857113,3,5
p161,3.773480663,4,1.78747986,2,5
p162,3.871014493,4,1.526424368,3,5
p163,3.839650146,4,1.424186192,3,5
p164,4.22324159,4,1.503271855,3,5
p165,4.822751323,5,1.691862517,4,6
p166,4.695538058,5,1.551469944,4,6
p167,4.922572178,5,1.576109366,4,6
p168,4.815445026,5,1.432871385,4,6
p169,4.781163435,5,1.659745556,4,6
p17,3.66097561,4,1.507824426,3,5
p170,4.607894737,5,1.60398277,4,6
p171,3.636363636,4,1.675437964,2,5
p172,4.045103093,4,1.575376331,3,5
p173,3.952513966,4,1.534105947,3,5
p174,3.816715543,4,1.553738112,3,5
p175,3.780597015,4,1.504607575,3,5
p176,3.620588235,4,1.602041362,2,5
p177,4.050420168,4,1.644784434,3,5
p178,3.583333333,4,1.453664976,3,4
p179,4.319060773,4,1.611419155,3,5
p18,4.085271318,4,1.50490222,3,5
p180,3.642253521,4,1.52758644,3,5
p181,4.057228916,4,1.499156511,3,5
p182,3.855329949,4,1.497031675,3,5
p183,4.215469613,4,1.487895175,3,5
p184,3.582386364,4,1.409785496,3,4
p185,3.803069054,4,1.575319518,3,5
p186,4.82027027,5,1.557652647,4,6
p187,4.689415042,5,1.504759467,4,6
p188,4.66954023,5,1.653741829,4,6
p189,3.815718157,4,1.464682814,3,5
p19,3.626702997,4,1.553999169,3,5
p190,4.198369565,4,1.507943564,3,5
p191,3.550955414,4,1.516348305,3,5
p192,3.615606936,4,1.480183814,3,4
p193,4.25,4,1.494740556,3,5
p194,4.176646707,4,1.528584346,3,5
p195,3.643835616,4,1.469187776,3,5
p196,3.461971831,4,1.322594415,3,4
p197,4.75890411,5,1.519817407,4,6
p198,4.56626506,5,1.457911191,4,5
p199,3.888101983,4,1.45757234,3,5
p2,5.462378641,6,1.602284614,5,7
p20,3.190789474,3,1.60672873,2,4
p200,4.898529412,5,1.530177525,4,6
p201,4.825581395,5,1.540072017,4,6
p202,4.445187166,5,1.522068524,4,5
p203,4.684952978,5,1.524008879,4,6
p204,3.403458213,4,1.361650488,2,4
p205,4.695714286,5,1.516710711,4,6
p206,3.391666667,4,1.36589477,2.75,4
p207,4.208219178,4,1.437503313,3,5
p208,4.003957784,4,1.535939868,3,5
p209,4.007672634,4,1.443799281,3,5
p21,2.979166667,3,1.488617677,1.375,4
p210,3.850574713,4,1.474304296,3,5
p211,3.61965812,4,1.450590381,3,4
p212,3.666666667,4,1.423009289,3,5
p213,3.71559633,4,1.572921219,3,5
p214,3.690340909,4,1.419489053,3,5
p215,3.628318584,4,1.464741573,3,4
p216,4.799719888,5,1.482036607,4,6
p217,4.749262537,5,1.538160851,4,6
p218,4.118975904,4,1.451689766,3,5
p219,4.299418605,4,1.465004685,4,5
p22,4.159517426,4,1.536088029,3,5
p220,5.339344262,6,1.541239962,5,7
p221,3.705714286,4,1.749898541,2,5
p222,4.011940299,4,1.624524102,3,5
p223,3.924418605,4,1.563090013,3,5
p224,3.318318318,4,1.716554986,2,4
p225,3.173352436,3,1.456024127,2,4
p226,3.385579937,4,1.655535471,2,4
p227,3.762996942,4,1.940749857,2,5
p228,5.452991453,6,1.70794309,5,7
p229,5.117142857,5,1.562634194,4,6
p23,4.844776119,5,1.4999285,4,6
p230,5.504504505,6,1.669394273,5,7
p231,4.907352941,5,1.634195442,4,6
p232,5.742382271,6,1.578537959,5,7
p233,5.217142857,5,1.549098215,5,6
p234,3.932601881,4,1.458871086,3,5
p235,3.974647887,4,1.406975992,3,5
p236,3.695530726,4,1.53193169,3,5
p237,3.950166113,4,1.618901368,3,5
p238,3.887784091,4,1.479987556,3,5
p239,5.117910448,5,1.577909381,4,6
p24,5.218926554,5,1.456433605,5,6
p240,3.942073171,4,1.427556873,3,5
p241,4.014204545,4,1.447001987,3,5
p242,3.777142857,4,1.365368998,3,5
p243,3.237637363,4,1.521828652,2,4
p244,3.637026239,4,1.565396804,2.5,5
p245,3.287790698,4,1.431129058,2,4
p246,5.152380952,5,1.552361786,5,6
p247,5.630952381,6,1.634157817,5,7
p248,4.072192513,4,1.554247663,3,5
p249,4.296587927,4,1.463130714,3,5
p25,4.642663043,5,1.48219238,4,6
p250,3.357348703,4,1.489548134,2,4
p251,3.676646707,4,1.539351531,3,5
p252,3.75625,4,1.625605747,3,5
p253,3.978753541,4,1.629007865,3,5
