prime,g_score_mean,g_score_sd,g_score_q1,g_score_q3,slow_mean_binary,slow_median_binary,slow_sd_binary,slow_q1_binary,slow_q3_binary,fast_mean_binary,fast_median_binary,fast_sd_binary,fast_q1_binary,fast_q3_binary,fast900_mean_binary,fast900_median_binary,fast900_sd_binary,fast900_q1_binary,fast900_q3_binary,fast1200_mean_binary,fast1200_median_binary,fast1200_sd_binary,fast1200_q1_binary,fast1200_q3_binary,fast1500_mean_binary,fast1500_median_binary,fast1500_sd_binary,fast1500_q1_binary,fast1500_q3_binary,fast1800_mean_binary,fast1800_median_binary,fast1800_sd_binary,fast1800_q1_binary,fast1800_q3_binary,slow_mean_continuous,slow_median_continuous,slow_sd_continuous,slow_q1_continuous,slow_q3_continuous,fast_mean_continuous,fast_median_continuous,fast_sd_continuous,fast_q1_continuous,fast_q3_continuous,fast900_mean_continuous,fast900_median_continuous,fast900_sd_continuous,fast900_q1_continuous,fast900_q3_continuous,fast1200_mean_continuous,fast1200_median_continuous,fast1200_sd_continuous,fast1200_q1_continuous,fast1200_q3_continuous,fast1500_mean_continuous,fast1500_median_continuous,fast1500_sd_continuous,fast1500_q1_continuous,fast1500_q3_continuous,fast1800_mean_continuous,fast1800_median_continuous,fast1800_sd_continuous,fast1800_q1_continuous,fast1800_q3_continuous,n_g_score,n_binary_fast1200,n_binary_fast1500,n_binary_fast1800,n_binary_fast900,n_binary_slow,n_binary_fast,n_continuous_fast1200,n_continuous_fast1500,n_continuous_fast1800,n_continuous_fast900,n_continuous_slow,n_continuous_fast
p1,0.352192124,0.567381043,0.012283368,0.736228009,1.643122677,2,0.479226659,1,2,1.656600544,2,0.474916432,1,2,1.670886076,2,0.470636691,1,2,1.617816092,2,0.486620825,1,2,1.671834625,2,0.470153203,1,2,1.665865385,2,0.472255007,1,2,4.566502463,5,1.798550199,3,6,4.685077146,5,1.698125883,3.75,6,4.71257485,5,1.746258639,4,6,4.67539267,5,1.602423076,4,6,4.675257732,5,1.713314573,4,6,4.677083333,5,1.730507244,3,6,361,348,387,416,316,1614,1467,191,194,192,167,812,744
p10,0.269720552,0.544214453,-0.075045419,0.582237236,1.697484277,2,0.459491837,1,2,1.611426132,2,0.48802659,1,2,1.594982079,2,0.491777626,1,2,1.612466125,2,0.487848693,1,2,1.618811881,2,0.486280841,1,2,1.619444444,2,0.486199201,1,2,4.599260173,5,1.564561058,4,6,4.391856978,4.25,1.545993213,3.75,5.5,4.333333333,4,1.468536534,4,5,4.414634146,4,1.574546461,4,6,4.653631285,5,1.496297189,4,6,4.165829146,4,1.644592667,3,5,322,369,404,360,279,1590,1412,205,179,199,150,811,733
p100,-0.116989955,0.517709849,-0.454085928,0.246725096,1.151574803,1,0.358725969,1,1,1.239913044,1,0.426054423,1,1.5,1.284246575,1,0.451829174,1,2,1.205438066,1,0.40463306,1,1,1.214285714,1,0.410890702,1,1,1.255681818,1,0.436864757,1,2,2.489795918,2,1.353003254,1,3,2.730347615,2.75,1.443306211,1.75,3.75,2.762820513,3,1.377759656,2,4,2.682352941,3,1.559181736,1,4,2.849710983,3,1.454928444,2,4,2.626506024,2,1.381355008,2,3,319,331,364,352,292,1524,1339,170,173,166,156,735,665
p101,0.063862115,0.568747139,-0.252392477,0.413815395,1.265141319,1,0.441557025,1,2,1.323758208,1,0.466745617,1,2,1.31372549,1,0.464766301,1,2,1.324159021,1,0.468777105,1,2,1.273712737,1,0.446468673,1,2,1.383435583,1,0.48697039,1,2,3.093959732,3,1.430008092,2,4,3.199345319,3,1.493184759,2,4,3.069767442,3,1.511342773,2,4,3.289017341,3,1.445822235,2,4,3.32748538,3,1.586080665,2,4,3.111111111,3,1.429493362,2,4,324,327,369,326,306,1486,1328,173,171,180,129,745,653
p102,0.326568631,0.523394279,-0.034875816,0.667905959,1.749324324,2,0.433548595,1,2,1.694311615,2,0.461340072,1,2,1.695364238,2,0.461016895,1,2,1.701219512,2,0.458422745,1,2,1.683333333,2,0.465823618,1,2,1.697329377,2,0.460097028,1,2,4.74048913,5,1.573346632,4,6,4.704590092,5,1.472241077,4,6,4.803680982,5,1.439559671,4,6,4.789189189,5,1.46847003,4,6,4.666666667,5,1.469808679,4,6,4.558823529,5,1.511125927,4,6,306,328,360,337,302,1480,1327,185,159,170,163,736,677
p103,-0.15553218,0.560189134,-0.542681293,0.264932372,1.128808864,1,0.335104323,1,1,1.171903747,1,0.377305397,1,1,1.199300699,1,0.400174787,1,1,1.166172107,1,0.372788567,1,1,1.15942029,1,0.366599252,1,1,1.162721893,1,0.369658981,1,1,2.352054795,2,1.381100095,1,3,2.444659711,2,1.401991767,1,3,2.523809524,2,1.31755708,1,3,2.45508982,2,1.519775613,1,3,2.486486486,2,1.511219304,1,3,2.313253012,2,1.259415072,1,3,311,337,345,338,286,1444,1306,167,185,166,168,730,686
p104,-0.011665478,0.53016103,-0.35692079,0.391492811,1.261316872,1,0.439502957,1,2,1.2617082,1,0.439448948,1,1.5,1.243055556,1,0.429674989,1,1,1.294871795,1,0.456717615,1,2,1.237196765,1,0.425938343,1,1,1.271708683,1,0.445464843,1,2,3.096685083,3,1.619056657,2,4,3.068506467,3,1.57245445,2,4,3.092307692,3,1.542404012,2,4,3.048913043,3,1.593291576,2,4,3.046783626,3,1.593416106,2,4,3.086021505,3,1.560706105,2,4,311,312,371,357,288,1458,1328,184,171,186,130,724,671
p105,-0.131283157,0.542300568,-0.513507932,0.271800489,1.111036339,1,0.314282898,1,1,1.156315869,1,0.361368715,1,1,1.146627566,1,0.35425407,1,1,1.168571429,1,0.374908912,1,1,1.195121951,1,0.396900049,1,1,1.114942529,1,0.319411828,1,1,2.182781457,2,1.324516908,1,3,2.236688096,1.75,1.376424148,1,3,2.328467153,2,1.430289404,1,3,1.981481481,1,1.320983175,1,3,2.142180095,2,1.218380262,1,3,2.494623656,2,1.536043749,1,3,324,350,328,348,341,1486,1367,162,211,186,137,755,696
p106,-0.13035091,0.554004598,-0.476888982,0.259777437,1.102971666,1,0.30402694,1,1,1.186141212,1,0.389071163,1,1,1.156351792,1,0.363781492,1,1,1.195845697,1,0.397440412,1,1,1.187311178,1,0.390751828,1,1,1.20505618,1,0.404310921,1,1,2.060880829,2,1.319384855,1,3,2.24684006,2,1.339835104,1,3,2.122580645,2,1.306007517,1,3,2.448863636,2,1.445267692,1,3,2.110497238,2,1.260048622,1,3,2.305418719,2,1.348016584,1,3,310,337,331,356,307,1447,1331,176,181,203,155,772,715
p107,0.11759508,0.510065341,-0.212566757,0.444071739,1.495380242,1,0.500156428,1,2,1.44816406,1.25,0.49586301,1,2,1.406844106,1,0.492181934,1,2,1.414383562,1,0.493460984,1,2,1.525714286,2,0.50005321,1,2,1.445714286,1,0.497755914,1,2,3.855656697,4,1.610099106,3,5,3.868504521,4,1.617819369,3,5,3.959183673,4,1.68343074,3,5,3.794520548,4,1.601369277,3,5,3.978378378,4,1.574100008,3,5,3.741935484,4,1.612377453,3,5,329,292,350,350,263,1407,1255,146,185,217,147,769,695
