prime,diff_binary_slow_scale_slow,diff_binary_slow_binary_fast,diff_binary_slow_scale_fast,diff_binary_slow_mean_g_score,diff_scale_slow_binary_fast,diff_scale_slow_scale_fast,diff_scale_slow_mean_g_score,diff_binary_fast_scale_fast,diff_binary_fast_mean_g_score,diff_scale_fast_mean_g_score
p1,74,84,119,186,10,45,112,35,102,67
p10,18,-41,-21,38,-59,-39,20,20,79,59
p100,13,28,21,-18,15,8,-31,-7,-46,-39
p101,12,14,23,52,2,11,40,9,38,29
p102,-4,29,5,42,33,9,46,-24,13,37
p103,7,-3,5,-17,-10,-2,-24,8,-14,-22
p104,17,-26,9,-14,-43,-8,-31,35,12,-23
p105,5,-6,-2,-1,-11,-7,-6,4,5,1
p106,6,18,7,7,12,1,1,-11,-11,0
p107,-1,-26,5,-41,-25,6,-40,31,-15,-46
p108,-10,7,8,50,17,18,60,1,43,42
p109,-12,-17,-7,25,-5,5,37,10,42,32
p11,-8,41,15,-23,49,23,-15,-26,-64,-38
p110,-19,6,-6,-15,25,13,4,-12,-21,-9
p111,2,-4,-5,182,-6,-7,180,-1,186,187
p112,-1,56,53,36,57,54,37,-3,-20,-17
p113,34,31,55,32,-3,21,-2,24,1,-23
p114,-6,27,40,53,33,46,59,13,26,13
p115,-10,23,23,4,33,33,14,0,-19,-19
p116,-16,61,111,27,77,127,43,50,-34,-84
p117,7,-47,-24,-17,-54,-31,-24,23,30,7
p118,28,82,71,10,54,43,-18,-11,-72,-61
p119,43,16,45,-154,-27,2,-197,29,-170,-199
p12,8,18,28,153,10,20,145,10,135,125
p120,20,44,54,-64,24,34,-84,10,-108,-118
p121,-4,19,-2,-15,23,2,-11,-21,-34,-13
p122,-2,-19,-1,-104,-17,1,-102,18,-85,-103
p123,-18,-10,-21,-95,8,-3,-77,-11,-85,-74
p124,-7,7,-11,37,14,-4,44,-18,30,48
p125,11,3,14,-16,-8,3,-27,11,-19,-30
p126,12,13,13,10,1,1,-2,0,-3,-3
p127,-5,71,9,58,76,14,63,-62,-13,49
p128,4,13,1,67,9,-3,63,-12,54,66
p129,41,74,81,125,33,40,84,7,51,44
p13,-18,2,-12,102,20,6,120,-14,100,114
p130,7,-55,-14,-88,-62,-21,-95,41,-33,-74
p131,-17,51,13,-14,68,30,3,-38,-65,-27
p132,-1,46,-18,-123,47,-17,-122,-64,-169,-105
p133,32,8,22,294,-24,-10,262,14,286,272
p134,2,43,49,76,41,47,74,6,33,27
p135,4,-27,6,-56,-31,2,-60,33,-29,-62
p136,4,52,26,-34,48,22,-38,-26,-86,-60
p137,-11,5,-4,76,16,7,87,-9,71,80
p138,-3,20,16,11,23,19,14,-4,-9,-5
p139,-9,-5,-11,28,4,-2,37,-6,33,39
p14,12.5,-10,9,48,-22.5,-3.5,35.5,19,58,39
p140,0,-20,-4,4,-20,-4,4,16,24,8
p141,-1,-18,-7,-42,-17,-6,-41,11,-24,-35
p142,-10.5,36,-12,58,46.5,-1.5,68.5,-48,22,70
